'sku'|'qty'|'pyua_Lager'|'is_in_stock'|'store'
'4250804732829'|'0'|'120'|'120'|'admin'
'4250804732126'|'1'|'120'|'120'|'admin'
'4250804732072'|'0'|'120'|'120'|'admin'
'4250804732065'|'0'|'120'|'120'|'admin'
'4250804727474'|'0'|'120'|'120'|'admin'
'4250804727429'|'0'|'120'|'120'|'admin'
'4250804725159'|'0'|'120'|'120'|'admin'
'4250804725135'|'1'|'120'|'120'|'admin'
'4250804725111'|'1'|'120'|'120'|'admin'
'4250804723841'|'5'|'120'|'120'|'admin'
'4250804723834'|'7'|'120'|'120'|'admin'
'4250804723827'|'24'|'120'|'120'|'admin'
'4250804723810'|'25'|'120'|'120'|'admin'
'4250804723803'|'14'|'120'|'120'|'admin'
'4250804723797'|'7'|'120'|'120'|'admin'
'4250804723780'|'4'|'120'|'120'|'admin'
'4250804723773'|'13'|'120'|'120'|'admin'
'4250804723766'|'20'|'120'|'120'|'admin'
'4250804723759'|'11'|'120'|'120'|'admin'
'4250804723742'|'6'|'120'|'120'|'admin'
'4250804723735'|'9'|'120'|'120'|'admin'
'4250804723728'|'0'|'120'|'120'|'admin'
'4250804723711'|'40'|'120'|'120'|'admin'
'4250804723704'|'9'|'120'|'120'|'admin'
'4250804723698'|'3'|'120'|'120'|'admin'
'4250804723681'|'3'|'120'|'120'|'admin'
'4250804723674'|'2'|'120'|'120'|'admin'
'4250804723667'|'2'|'120'|'120'|'admin'
'4250804723650'|'15'|'120'|'120'|'admin'
'4250804721175'|'1'|'120'|'120'|'admin'
'4250804721168'|'1'|'120'|'120'|'admin'
'4250804721151'|'0'|'120'|'120'|'admin'
'4250804721144'|'6'|'120'|'120'|'admin'
'4250804721137'|'6'|'120'|'120'|'admin'
'4250804721120'|'110'|'120'|'120'|'admin'
'4250804721113'|'60'|'120'|'120'|'admin'
'4250804721090'|'106'|'120'|'120'|'admin'
'4250804721083'|'146'|'120'|'120'|'admin'
'4250804721076'|'14'|'120'|'120'|'admin'
'4250804721069'|'14'|'120'|'120'|'admin'
'4250804721052'|'30'|'120'|'120'|'admin'
'4250804721045'|'28'|'120'|'120'|'admin'
'4250804721038'|'15'|'120'|'120'|'admin'
'4250804721021'|'2'|'120'|'120'|'admin'
'4250804721014'|'0'|'120'|'120'|'admin'
'4250804721007'|'10'|'120'|'120'|'admin'
'4250804720994'|'8'|'120'|'120'|'admin'
'4250804720987'|'9'|'120'|'120'|'admin'
'4250804720925'|'38'|'120'|'120'|'admin'
'4250804720918'|'26'|'120'|'120'|'admin'
'4250804720901'|'43'|'120'|'120'|'admin'
'4250804720895'|'47'|'120'|'120'|'admin'
'4250804720888'|'18'|'120'|'120'|'admin'
'4250804720871'|'10'|'120'|'120'|'admin'
'4250804720864'|'4'|'120'|'120'|'admin'
'4250804720857'|'10'|'120'|'120'|'admin'
'4250804720840'|'14'|'120'|'120'|'admin'
'4250804720833'|'4'|'120'|'120'|'admin'
'4250804720826'|'15'|'120'|'120'|'admin'
'4250804720819'|'2'|'120'|'120'|'admin'
'4250804720802'|'4'|'120'|'120'|'admin'
'4250804720796'|'17'|'120'|'120'|'admin'
'4250804720789'|'14'|'120'|'120'|'admin'
'4250804720772'|'5'|'120'|'120'|'admin'
'4250804720765'|'3'|'120'|'120'|'admin'
'4250804720758'|'5'|'120'|'120'|'admin'
'4250804720741'|'7'|'120'|'120'|'admin'
'4250804720734'|'16'|'120'|'120'|'admin'
'4250804720598'|'0'|'120'|'120'|'admin'
'4250804720581'|'1'|'120'|'120'|'admin'
'4250804720574'|'3'|'120'|'120'|'admin'
'4250804720567'|'3'|'120'|'120'|'admin'
'4250804720550'|'1'|'120'|'120'|'admin'
'4250804720543'|'0'|'120'|'120'|'admin'
'4250804720536'|'4'|'120'|'120'|'admin'
'4250804720529'|'2'|'120'|'120'|'admin'
'4250804720512'|'3'|'120'|'120'|'admin'
'4250804720505'|'2'|'120'|'120'|'admin'
'4250804720345'|'5'|'120'|'120'|'admin'
'4250804720338'|'0'|'120'|'120'|'admin'
'4250804720321'|'2'|'120'|'120'|'admin'
'4250804720314'|'5'|'120'|'120'|'admin'
'4250804720307'|'12'|'120'|'120'|'admin'
'4250804720291'|'0'|'120'|'120'|'admin'
'4250804720284'|'0'|'120'|'120'|'admin'
'4250804720277'|'4'|'120'|'120'|'admin'
'4250804720260'|'26'|'120'|'120'|'admin'
'4250804720253'|'16'|'120'|'120'|'admin'
'4250804720246'|'0'|'120'|'120'|'admin'
'4250804720239'|'0'|'120'|'120'|'admin'
'4250804720222'|'1'|'120'|'120'|'admin'
'4250804720215'|'2'|'120'|'120'|'admin'
'4250804720208'|'2'|'120'|'120'|'admin'
'4250804720192'|'15'|'120'|'120'|'admin'
'4250804720185'|'5'|'120'|'120'|'admin'
'4250804720178'|'37'|'120'|'120'|'admin'
'4250804720161'|'51'|'120'|'120'|'admin'
'4250804720154'|'25'|'120'|'120'|'admin'
'4250804719974'|'14'|'120'|'120'|'admin'
'4250804719967'|'7'|'120'|'120'|'admin'
'4250804719950'|'15'|'120'|'120'|'admin'
'4250804719943'|'16'|'120'|'120'|'admin'
'4250804719936'|'11'|'120'|'120'|'admin'
'4250804719868'|'4'|'120'|'120'|'admin'
'4250804719844'|'69'|'120'|'120'|'admin'
'4250804719813'|'119'|'120'|'120'|'admin'
'4250804719783'|'5'|'120'|'120'|'admin'
'4250804719646'|'12'|'120'|'120'|'admin'
'4250804719639'|'2'|'120'|'120'|'admin'
'4250804719622'|'2'|'120'|'120'|'admin'
'4250804719615'|'4'|'120'|'120'|'admin'
'4250804719608'|'1'|'120'|'120'|'admin'
'4250804719547'|'4'|'120'|'120'|'admin'
'4250804719530'|'4'|'120'|'120'|'admin'
'4250804719523'|'2'|'120'|'120'|'admin'
'4250804719516'|'6'|'120'|'120'|'admin'
'4250804719509'|'4'|'120'|'120'|'admin'
'4250804719448'|'2'|'120'|'120'|'admin'
'4250804719431'|'0'|'120'|'120'|'admin'
'4250804719424'|'1'|'120'|'120'|'admin'
'4250804719417'|'3'|'120'|'120'|'admin'
'4250804719400'|'2'|'120'|'120'|'admin'
'4250804719394'|'9'|'120'|'120'|'admin'
'4250804719387'|'2'|'120'|'120'|'admin'
'4250804719370'|'2'|'120'|'120'|'admin'
'4250804719363'|'1'|'120'|'120'|'admin'
'4250804719356'|'4'|'120'|'120'|'admin'
'4250804719295'|'1'|'120'|'120'|'admin'
'4250804719288'|'2'|'120'|'120'|'admin'
'4250804719271'|'6'|'120'|'120'|'admin'
'4250804719264'|'2'|'120'|'120'|'admin'
'4250804719196'|'3'|'120'|'120'|'admin'
'4250804719189'|'1'|'120'|'120'|'admin'
'4250804719172'|'6'|'120'|'120'|'admin'
'4250804719165'|'2'|'120'|'120'|'admin'
'4250804719158'|'2'|'120'|'120'|'admin'
'4250804719097'|'22'|'120'|'120'|'admin'
'4250804719080'|'12'|'120'|'120'|'admin'
'4250804719073'|'28'|'120'|'120'|'admin'
'4250804719066'|'19'|'120'|'120'|'admin'
'4250804719059'|'9'|'120'|'120'|'admin'
'4250804718991'|'6'|'120'|'120'|'admin'
'4250804718984'|'0'|'120'|'120'|'admin'
'4250804718977'|'7'|'120'|'120'|'admin'
'4250804718960'|'6'|'120'|'120'|'admin'
'4250804718953'|'2'|'120'|'120'|'admin'
'4250804718748'|'10'|'120'|'120'|'admin'
'4250804718731'|'2'|'120'|'120'|'admin'
'4250804718724'|'33'|'120'|'120'|'admin'
'4250804718717'|'39'|'120'|'120'|'admin'
'4250804718700'|'26'|'120'|'120'|'admin'
'4250804718595'|'25'|'120'|'120'|'admin'
'4250804718588'|'17'|'120'|'120'|'admin'
'4250804718571'|'36'|'120'|'120'|'admin'
'4250804718564'|'18'|'120'|'120'|'admin'
'4250804718557'|'7'|'120'|'120'|'admin'
'4250804718540'|'20'|'120'|'120'|'admin'
'4250804718533'|'13'|'120'|'120'|'admin'
'4250804718526'|'31'|'120'|'120'|'admin'
'4250804718519'|'21'|'120'|'120'|'admin'
'4250804718502'|'16'|'120'|'120'|'admin'
'4250804718397'|'10'|'120'|'120'|'admin'
'4250804718380'|'10'|'120'|'120'|'admin'
'4250804718373'|'15'|'120'|'120'|'admin'
'4250804718366'|'20'|'120'|'120'|'admin'
'4250804718359'|'8'|'120'|'120'|'admin'
'4250804718199'|'12'|'120'|'120'|'admin'
'4250804718182'|'7'|'120'|'120'|'admin'
'4250804718175'|'22'|'120'|'120'|'admin'
'4250804718168'|'22'|'120'|'120'|'admin'
'4250804718151'|'12'|'120'|'120'|'admin'
'4250804718090'|'14'|'120'|'120'|'admin'
'4250804718083'|'12'|'120'|'120'|'admin'
'4250804718076'|'24'|'120'|'120'|'admin'
'4250804718069'|'25'|'120'|'120'|'admin'
'4250804718052'|'13'|'120'|'120'|'admin'
'4250804717994'|'0'|'120'|'120'|'admin'
'4250804717987'|'0'|'120'|'120'|'admin'
'4250804717970'|'1'|'120'|'120'|'admin'
'4250804717963'|'1'|'120'|'120'|'admin'
'4250804717956'|'3'|'120'|'120'|'admin'
'4250804717949'|'10'|'120'|'120'|'admin'
'4250804717932'|'3'|'120'|'120'|'admin'
'4250804717925'|'11'|'120'|'120'|'admin'
'4250804717918'|'22'|'120'|'120'|'admin'
'4250804717901'|'11'|'120'|'120'|'admin'
'4250804717895'|'0'|'120'|'120'|'admin'
'4250804717888'|'0'|'120'|'120'|'admin'
'4250804717871'|'0'|'120'|'120'|'admin'
'4250804717864'|'0'|'120'|'120'|'admin'
'4250804717857'|'5'|'120'|'120'|'admin'
'4250804717840'|'0'|'120'|'120'|'admin'
'4250804717833'|'0'|'120'|'120'|'admin'
'4250804717826'|'0'|'120'|'120'|'admin'
'4250804717819'|'0'|'120'|'120'|'admin'
'4250804717802'|'0'|'120'|'120'|'admin'
'4250804717598'|'26'|'120'|'120'|'admin'
'4250804717581'|'26'|'120'|'120'|'admin'
'4250804717574'|'46'|'120'|'120'|'admin'
'4250804717567'|'49'|'120'|'120'|'admin'
'4250804717550'|'23'|'120'|'120'|'admin'
'4250804717543'|'15'|'120'|'120'|'admin'
'4250804717536'|'14'|'120'|'120'|'admin'
'4250804717529'|'27'|'120'|'120'|'admin'
'4250804717512'|'27'|'120'|'120'|'admin'
'4250804717505'|'14'|'120'|'120'|'admin'
'4250804717499'|'12'|'120'|'120'|'admin'
'4250804717482'|'12'|'120'|'120'|'admin'
'4250804717475'|'20'|'120'|'120'|'admin'
'4250804717468'|'24'|'120'|'120'|'admin'
'4250804717451'|'13'|'120'|'120'|'admin'
'4250804717444'|'13'|'120'|'120'|'admin'
'4250804717437'|'15'|'120'|'120'|'admin'
'4250804717420'|'28'|'120'|'120'|'admin'
'4250804717413'|'28'|'120'|'120'|'admin'
'4250804717406'|'14'|'120'|'120'|'admin'
'4250804717390'|'13'|'120'|'120'|'admin'
'4250804717383'|'0'|'120'|'120'|'admin'
'4250804717376'|'0'|'120'|'120'|'admin'
'4250804717369'|'14'|'120'|'120'|'admin'
'4250804717352'|'12'|'120'|'120'|'admin'
'4250804717345'|'5'|'120'|'120'|'admin'
'4250804717338'|'0'|'120'|'120'|'admin'
'4250804717321'|'0'|'120'|'120'|'admin'
'4250804717314'|'2'|'120'|'120'|'admin'
'4250804717307'|'4'|'120'|'120'|'admin'
'4250804717291'|'13'|'120'|'120'|'admin'
'4250804717284'|'6'|'120'|'120'|'admin'
'4250804717277'|'4'|'120'|'120'|'admin'
'4250804717260'|'27'|'120'|'120'|'admin'
'4250804717253'|'17'|'120'|'120'|'admin'
'4250804717246'|'0'|'120'|'120'|'admin'
'4250804717239'|'1'|'120'|'120'|'admin'
'4250804717222'|'2'|'120'|'120'|'admin'
'4250804717215'|'0'|'120'|'120'|'admin'
'4250804717208'|'1'|'120'|'120'|'admin'
'4250804716997'|'3'|'120'|'120'|'admin'
'4250804716980'|'12'|'120'|'120'|'admin'
'4250804716973'|'21'|'120'|'120'|'admin'
'4250804716966'|'26'|'120'|'120'|'admin'
'4250804716959'|'15'|'120'|'120'|'admin'
'4250804716898'|'10'|'120'|'120'|'admin'
'4250804716881'|'16'|'120'|'120'|'admin'
'4250804716874'|'39'|'120'|'120'|'admin'
'4250804716867'|'44'|'120'|'120'|'admin'
'4250804716850'|'20'|'120'|'120'|'admin'
'4250804716843'|'3'|'120'|'120'|'admin'
'4250804716836'|'5'|'120'|'120'|'admin'
'4250804716829'|'10'|'120'|'120'|'admin'
'4250804716812'|'11'|'120'|'120'|'admin'
'4250804716805'|'4'|'120'|'120'|'admin'
'4250804716799'|'13'|'120'|'120'|'admin'
'4250804716782'|'18'|'120'|'120'|'admin'
'4250804716775'|'40'|'120'|'120'|'admin'
'4250804716768'|'44'|'120'|'120'|'admin'
'4250804716751'|'18'|'120'|'120'|'admin'
'4250804716492'|'1'|'120'|'120'|'admin'
'4250804716485'|'0'|'120'|'120'|'admin'
'4250804716478'|'0'|'120'|'120'|'admin'
'4250804716461'|'0'|'120'|'120'|'admin'
'4250804716454'|'1'|'120'|'120'|'admin'
'4250804716447'|'0'|'120'|'120'|'admin'
'4250804716430'|'0'|'120'|'120'|'admin'
'4250804716423'|'0'|'120'|'120'|'admin'
'4250804716416'|'0'|'120'|'120'|'admin'
'4250804716409'|'1'|'120'|'120'|'admin'
'4250804716393'|'0'|'120'|'120'|'admin'
'4250804716386'|'0'|'120'|'120'|'admin'
'4250804716379'|'4'|'120'|'120'|'admin'
'4250804716362'|'11'|'120'|'120'|'admin'
'4250804716355'|'10'|'120'|'120'|'admin'
'4250804716294'|'0'|'120'|'120'|'admin'
'4250804716287'|'0'|'120'|'120'|'admin'
'4250804716270'|'0'|'120'|'120'|'admin'
'4250804716263'|'0'|'120'|'120'|'admin'
'4250804716256'|'0'|'120'|'120'|'admin'
'4250804716041'|'9'|'120'|'120'|'admin'
'4250804715983'|'5'|'120'|'120'|'admin'
'4250804715976'|'16'|'120'|'120'|'admin'
'4250804715969'|'19'|'120'|'120'|'admin'
'4250804715952'|'11'|'120'|'120'|'admin'
'4250804715945'|'8'|'120'|'120'|'admin'
'4250804715938'|'10'|'120'|'120'|'admin'
'4250804715921'|'11'|'120'|'120'|'admin'
'4250804715914'|'16'|'120'|'120'|'admin'
'4250804715907'|'10'|'120'|'120'|'admin'
'4250804715891'|'13'|'120'|'120'|'admin'
'4250804715884'|'12'|'120'|'120'|'admin'
'4250804715877'|'27'|'120'|'120'|'admin'
'4250804715860'|'28'|'120'|'120'|'admin'
'4250804715853'|'15'|'120'|'120'|'admin'
'4250804715846'|'1'|'120'|'120'|'admin'
'4250804715839'|'3'|'120'|'120'|'admin'
'4250804715822'|'2'|'120'|'120'|'admin'
'4250804715815'|'4'|'120'|'120'|'admin'
'4250804715808'|'6'|'120'|'120'|'admin'
'4250804715792'|'13'|'120'|'120'|'admin'
'4250804715785'|'7'|'120'|'120'|'admin'
'4250804715778'|'13'|'120'|'120'|'admin'
'4250804715761'|'11'|'120'|'120'|'admin'
'4250804715754'|'15'|'120'|'120'|'admin'
'4250804715747'|'10'|'120'|'120'|'admin'
'4250804715730'|'10'|'120'|'120'|'admin'
'4250804715723'|'23'|'120'|'120'|'admin'
'4250804715716'|'25'|'120'|'120'|'admin'
'4250804715709'|'16'|'120'|'120'|'admin'
'4250804715341'|'1'|'120'|'120'|'admin'
'4250804715334'|'0'|'120'|'120'|'admin'
'4250804715327'|'0'|'120'|'120'|'admin'
'4250804715310'|'0'|'120'|'120'|'admin'
'4250804715303'|'1'|'120'|'120'|'admin'
'4250804715297'|'0'|'120'|'120'|'admin'
'4250804715280'|'0'|'120'|'120'|'admin'
'4250804715273'|'0'|'120'|'120'|'admin'
'4250804715266'|'0'|'120'|'120'|'admin'
'4250804715259'|'1'|'120'|'120'|'admin'
'4250804715242'|'6'|'120'|'120'|'admin'
'4250804715235'|'0'|'120'|'120'|'admin'
'4250804715228'|'-1'|'120'|'120'|'admin'
'4250804715211'|'0'|'120'|'120'|'admin'
'4250804715204'|'5'|'120'|'120'|'admin'
'4250804715099'|'6'|'120'|'120'|'admin'
'4250804715082'|'1'|'120'|'120'|'admin'
'4250804715075'|'1'|'120'|'120'|'admin'
'4250804715068'|'12'|'120'|'120'|'admin'
'4250804715051'|'13'|'120'|'120'|'admin'
'4250804715044'|'4'|'120'|'120'|'admin'
'4250804715037'|'0'|'120'|'120'|'admin'
'4250804715020'|'3'|'120'|'120'|'admin'
'4250804715013'|'1'|'120'|'120'|'admin'
'4250804715006'|'4'|'120'|'120'|'admin'
'4250804714795'|'15'|'120'|'120'|'admin'
'4250804714788'|'13'|'120'|'120'|'admin'
'4250804714771'|'18'|'120'|'120'|'admin'
'4250804714764'|'26'|'120'|'120'|'admin'
'4250804714757'|'14'|'120'|'120'|'admin'
'4250804714740'|'12'|'120'|'120'|'admin'
'4250804714733'|'1'|'120'|'120'|'admin'
'4250804714726'|'1'|'120'|'120'|'admin'
'4250804714719'|'2'|'120'|'120'|'admin'
'4250804714702'|'4'|'120'|'120'|'admin'
'4250804714597'|'14'|'120'|'120'|'admin'
'4250804714580'|'8'|'120'|'120'|'admin'
'4250804714573'|'9'|'120'|'120'|'admin'
'4250804714566'|'18'|'120'|'120'|'admin'
'4250804714559'|'13'|'120'|'120'|'admin'
'4250804714542'|'9'|'120'|'120'|'admin'
'4250804714535'|'0'|'120'|'120'|'admin'
'4250804714528'|'4'|'120'|'120'|'admin'
'4250804714511'|'7'|'120'|'120'|'admin'
'4250804714504'|'10'|'120'|'120'|'admin'
'4250804714399'|'27'|'120'|'120'|'admin'
'4250804714382'|'18'|'120'|'120'|'admin'
'4250804714375'|'30'|'120'|'120'|'admin'
'4250804714368'|'30'|'120'|'120'|'admin'
'4250804714351'|'15'|'120'|'120'|'admin'
'4250804714344'|'28'|'120'|'120'|'admin'
'4250804714337'|'22'|'120'|'120'|'admin'
'4250804714320'|'41'|'120'|'120'|'admin'
'4250804714313'|'40'|'120'|'120'|'admin'
'4250804714306'|'22'|'120'|'120'|'admin'
'4250804714290'|'25'|'120'|'120'|'admin'
'4250804714283'|'19'|'120'|'120'|'admin'
'4250804714276'|'41'|'120'|'120'|'admin'
'4250804714269'|'42'|'120'|'120'|'admin'
'4250804714252'|'24'|'120'|'120'|'admin'
'4250804714245'|'24'|'120'|'120'|'admin'
'4250804714238'|'17'|'120'|'120'|'admin'
'4250804714221'|'24'|'120'|'120'|'admin'
'4250804714214'|'16'|'120'|'120'|'admin'
'4250804714207'|'17'|'120'|'120'|'admin'
'4250804714092'|'29'|'120'|'120'|'admin'
'4250804714085'|'22'|'120'|'120'|'admin'
'4250804714078'|'41'|'120'|'120'|'admin'
'4250804714061'|'39'|'120'|'120'|'admin'
'4250804714054'|'25'|'120'|'120'|'admin'
'4250804714047'|'25'|'120'|'120'|'admin'
'4250804714030'|'7'|'120'|'120'|'admin'
'4250804714023'|'23'|'120'|'120'|'admin'
'4250804714016'|'27'|'120'|'120'|'admin'
'4250804714009'|'14'|'120'|'120'|'admin'
'4250804713996'|'13'|'120'|'120'|'admin'
'4250804713989'|'4'|'120'|'120'|'admin'
'4250804713972'|'9'|'120'|'120'|'admin'
'4250804713965'|'24'|'120'|'120'|'admin'
'4250804713958'|'14'|'120'|'120'|'admin'
'4250804713941'|'13'|'120'|'120'|'admin'
'4250804713934'|'3'|'120'|'120'|'admin'
'4250804713927'|'17'|'120'|'120'|'admin'
'4250804713910'|'33'|'120'|'120'|'admin'
'4250804713903'|'20'|'120'|'120'|'admin'
'4250804713842'|'14'|'120'|'120'|'admin'
'4250804713835'|'7'|'120'|'120'|'admin'
'4250804713828'|'16'|'120'|'120'|'admin'
'4250804713811'|'15'|'120'|'120'|'admin'
'4250804713804'|'8'|'120'|'120'|'admin'
'4250804713798'|'6'|'120'|'120'|'admin'
'4250804713781'|'0'|'120'|'120'|'admin'
'4250804713774'|'0'|'120'|'120'|'admin'
'4250804713767'|'0'|'120'|'120'|'admin'
'4250804713750'|'0'|'120'|'120'|'admin'
'4250804713743'|'12'|'120'|'120'|'admin'
'4250804713736'|'2'|'120'|'120'|'admin'
'4250804713729'|'17'|'120'|'120'|'admin'
'4250804713712'|'20'|'120'|'120'|'admin'
'4250804713705'|'11'|'120'|'120'|'admin'
'4250804713699'|'14'|'120'|'120'|'admin'
'4250804713682'|'1'|'120'|'120'|'admin'
'4250804713675'|'1'|'120'|'120'|'admin'
'4250804713668'|'0'|'120'|'120'|'admin'
'4250804713651'|'10'|'120'|'120'|'admin'
'4250804713644'|'3'|'120'|'120'|'admin'
'4250804713637'|'1'|'120'|'120'|'admin'
'4250804713620'|'2'|'120'|'120'|'admin'
'4250804713613'|'1'|'120'|'120'|'admin'
'4250804713606'|'4'|'120'|'120'|'admin'
'4250804713590'|'6'|'120'|'120'|'admin'
'4250804713583'|'0'|'120'|'120'|'admin'
'4250804713576'|'0'|'120'|'120'|'admin'
'4250804713569'|'2'|'120'|'120'|'admin'
'4250804713552'|'3'|'120'|'120'|'admin'
'4250804713491'|'25'|'120'|'120'|'admin'
'4250804713484'|'0'|'120'|'120'|'admin'
'4250804713477'|'1'|'120'|'120'|'admin'
'4250804713460'|'0'|'120'|'120'|'admin'
'4250804713453'|'9'|'120'|'120'|'admin'
'4250804713446'|'11'|'120'|'120'|'admin'
'4250804713439'|'1'|'120'|'120'|'admin'
'4250804713422'|'1'|'120'|'120'|'admin'
'4250804713415'|'0'|'120'|'120'|'admin'
'4250804713408'|'0'|'120'|'120'|'admin'
'4250804713392'|'19'|'120'|'120'|'admin'
'4250804713385'|'1'|'120'|'120'|'admin'
'4250804713378'|'1'|'120'|'120'|'admin'
'4250804713361'|'3'|'120'|'120'|'admin'
'4250804713354'|'20'|'120'|'120'|'admin'
'4250804713347'|'23'|'120'|'120'|'admin'
'4250804713330'|'14'|'120'|'120'|'admin'
'4250804713323'|'23'|'120'|'120'|'admin'
'4250804713316'|'16'|'120'|'120'|'admin'
'4250804713309'|'10'|'120'|'120'|'admin'
