'sku'|'qty'|'pyua_Lager'|'is_in_stock'|'store'
'4250804728600'|'-1'|'120'|'120'|'admin'
'4250804728594'|'-1'|'120'|'120'|'admin'
'4250804728587'|'-1'|'120'|'120'|'admin'
'4250804728570'|'-1'|'120'|'120'|'admin'
'4250804727498'|'-1'|'120'|'120'|'admin'
'4250804727481'|'-1'|'120'|'120'|'admin'
'4250804727474'|'-1'|'120'|'120'|'admin'
'4250804727467'|'-1'|'120'|'120'|'admin'
'4250804725135'|'1'|'120'|'120'|'admin'
'4250804725111'|'1'|'120'|'120'|'admin'
'4250804723841'|'0'|'120'|'120'|'admin'
'4250804723834'|'0'|'120'|'120'|'admin'
'4250804723827'|'0'|'120'|'120'|'admin'
'4250804723810'|'0'|'120'|'120'|'admin'
'4250804723803'|'0'|'120'|'120'|'admin'
'4250804723797'|'0'|'120'|'120'|'admin'
'4250804723780'|'0'|'120'|'120'|'admin'
'4250804723773'|'0'|'120'|'120'|'admin'
'4250804723766'|'0'|'120'|'120'|'admin'
'4250804723759'|'0'|'120'|'120'|'admin'
'4250804723742'|'0'|'120'|'120'|'admin'
'4250804723735'|'0'|'120'|'120'|'admin'
'4250804723728'|'0'|'120'|'120'|'admin'
'4250804723711'|'0'|'120'|'120'|'admin'
'4250804723704'|'0'|'120'|'120'|'admin'
'4250804723698'|'0'|'120'|'120'|'admin'
'4250804723681'|'0'|'120'|'120'|'admin'
'4250804723674'|'0'|'120'|'120'|'admin'
'4250804723667'|'0'|'120'|'120'|'admin'
'4250804723650'|'0'|'120'|'120'|'admin'
'4250804721175'|'25'|'120'|'120'|'admin'
'4250804721168'|'16'|'120'|'120'|'admin'
'4250804721151'|'37'|'120'|'120'|'admin'
'4250804721144'|'43'|'120'|'120'|'admin'
'4250804721137'|'22'|'120'|'120'|'admin'
'4250804721120'|'132'|'120'|'120'|'admin'
'4250804721113'|'143'|'120'|'120'|'admin'
'4250804721090'|'187'|'120'|'120'|'admin'
