'artikel_id'|'_artikel_nr'|'name'|'sku'|'pyua_color'|'pyua_color_name'|'pyua_size'|'vk'|'price'|'pfad_bild'|'hwg_nr'|'hwg'|'wg_nr'|'wg'|'gr_pos'|'agroesse'|'Sonderaktion'|'topartikel'|'neueingetroffen'|'b2b'|'b2c'|'infotext'|'rabattaktiv'|'weight'|'pyua_saison'|'store'|'websites'|'type'|'attribute_set'|'description'|'short_description'|'category_ids'|'status'|'tax_class_id'|'qty'|'is_in_stock'|'stoffart'|'Modell_nr'|'modell_bezeichnung'|'Aktionsartikel'|'eigenschaft_1'|'eigenschaft_2'|'eigenschaft_3'
'2'|'11103001'|'Neat-Y'|'4250804719158'|'206206'|'navy blue - navy blue'|'S'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'002'|'S'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10301'||'N'|||
'2'|'11103001'|'Neat-Y'|'4250804719165'|'206206'|'navy blue - navy blue'|'M'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'003'|'M'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10301'||'N'|||
'2'|'11103001'|'Neat-Y'|'4250804719172'|'206206'|'navy blue - navy blue'|'L'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'004'|'L'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10301'||'N'|||
'2'|'11103001'|'Neat-Y'|'4250804719189'|'206206'|'navy blue - navy blue'|'XL'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'005'|'XL'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10301'||'N'|||
'2'|'11103001'|'Neat-Y'|'4250804719196'|'206206'|'navy blue - navy blue'|'XXL'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'006'|'XXL'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10301'||'N'|||
'65'|'11103002'|'Decent-Y'|'4250804719264'|'206206'|'navy blue - navy blue'|'S'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'002'|'S'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10302'||'N'|||
'65'|'11103002'|'Decent-Y'|'4250804719271'|'206206'|'navy blue - navy blue'|'M'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'003'|'M'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10302'||'N'|||
'65'|'11103002'|'Decent-Y'|'4250804719288'|'206206'|'navy blue - navy blue'|'L'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'004'|'L'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10302'||'N'|||
'65'|'11103002'|'Decent-Y'|'4250804719295'|'206206'|'navy blue - navy blue'|'XL'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'005'|'XL'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10302'||'N'|||
'65'|'11103002'|'Decent-Y'|'4250804719868'|'206206'|'navy blue - navy blue'|'XXL'|'0'|'0'||'111'|'Men Function Baselayer'|'03'|'seamless Longsleeve'|'006'|'XXL'|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|'314'|'admin'|'base'|'simple'|'pyua'|''|''|''|'Aktiviert'|'Umsatzsteuerpflichtige Güter 19%'|''|'1'||'10302'||'N'|||
